"Comment"
"Khóa học anh tập trung chính vào luồng đi của code và ít nặng về lý thuyết. Tới thời điểm hiện tại em thấy nó khá hay và khá tuyệt vời"
"khóa học rất hay  mình bỏ học gần 20 năm mà vẫn học được  mình tính học trọn gói khóa frontdend rồi chuyển sang khóa backend"
"khóa học rất hay  ban đầu học thì hơi khó hiểu  nhưng dần về sau  khi tự suy nghĩ ra cách làm gì đó và áp dụng thì khá hay. +1 respect cho a Eric"
"Đây là khóa học React tốt nhất mà mình từng học. Khóa học này có nhiều ưu điểm vượt trội so với một số khóa học khác - APIs đa dạng  nếu như các khóa học khác đa phần đều sử dụng free public APIs và method GET ở khóa học này mình được kết nối với backend cho bạn instructor build và được thực hành với rất nhiều method khác như POST  PUT  DELETE và học được cách xử lí dữ liệu trước khi gửi cho server / xử lý dữ liệu server trả về. - Học được cách sử dụng nhiều thư viện khác nhau  một chút về docker và postman. "
"Cảm ơn Anh. Khóa học thật tuyệt vời đầy đủ  chi tiết  dễ hiểu cho beginner."
"Học quá oke"
"Very good!!!"
"Good for beginner !!!!"
"Mình đã mua thêm khóa nữa. Respect Hoi dan IT"
"khóa học rất tốt"
"good"
"Very good"
"Good"
"Không cho chạy api backend vì không mua qua fb ???"
"<3"
"Nói nhiều quá  rất lòng vòng  dư thừa"
"So Good....."
"Good"
"Khóa học rất hay  anh nói rất dễ hiểu  cô đọng nội dung  hi vọng sau này còn nhiều khóa hơn nưa"
"Khoá học chất lượng  đầy đủ kiến thức cho người mới bắt đầu. Anh Eric nhiệt tình  hỗ trợ giải đáp thắc mắc qua remote. Cách dạy dễ dàng tiếp thu  học được cách tư duy và phân tích vấn đề."
"Khóa học rất tốt  nội dung rất phù hợp cho những bạn học từ chưa biết gì  khóa học rất đáng đồng tiền bát gạo."
"Khóa học mang lại cho mình kiến thức nền tảng của reactjs  mình được học từ cách cấu trúc thư mục đến cách sử dụng thư viện của reactjs  cách debug và tư duy sử dụng keywords để search gg"
"khóa học của anh rất ok  nhưng với cá nhân em những phần css anh nên làm trước  tập trung cốt lõi vào kỹ thuật sử dụng react nhiều hơn  có những video chỉ css dựng layout tốn khá nhiều thời gian"
"Đây là khóa học React tốt nhất mà mình từng học. Khóa học này có nhiều ưu điểm vượt trội so với một số khóa học khác - APIs đa dạng  nếu như các khóa học khác đa phần đều sử dụng free public APIs và method GET ở khóa học này mình được kết nối với backend cho bạn instructor build và được thực hành với rất nhiều method khác như POST  PUT  DELETE và học được cách xử lí dữ liệu trước khi gửi cho server / xử lý dữ liệu server trả về. - Học được cách sử dụng nhiều thư viện khác nhau  một chút về docker và postman. "
"Một khóa học rất hay dạy về react. Người hướng dẫn dạy rất nhiệt tình và giải thích rất chi tiết các vấn đề hơn nữa điều mình thích là anh luôn chia sẻ cách mà giải quyết một vấn đề và luôn gợi ý chủ để mở để người học có thể chủ động tìm hiểu. Bài giảng khá dài vì anh phải giải thích cặn kẽ từng dòng code chính vì thế các bạn phải dành thời gian và phải thật sự tập trung để theo dõi bài giảng và làm theo. Cuối cùng  mình xin cảm ơn anh đã có những bài giảng thật sự hữu ích và nhắn các bạn nếu đang muốn tìm hiểu về react thì đây là một khóa học rất đáng để học."
"Khóa học khá hay và dễ hiểu cho những người mới  hoặc trái ngành như mình (vẫn cũng có 1 số khái niệm  thiết lập... bên Backend vẫn hơi lú @@). Phần Project khá chi tiết  và rõ ràng cả về cấu trúc dự án  lẫn cách tư duy logic đều dễ hiểu cho người mới. Highly recommend!!!"
"Khóa học chỉnh chu  anh eric chu đáo cẩn thận  cần xem chậm lại để nắm được những kiến thức anh chỉ."
"Khóa học được anh xây dựng cực kì chi tiết và tỉ mỉ trong từng bài giảng  có giải thích cụ thể và rõ ràng từng phần"
"Khóa học thật sự chất lượng cho người mới học react. Bài giảng khá chi tiết và thời gian 1 bài học vừa đủ để cho người mới tiếp thu."
"Khóa học dạy rất hay  phù hợp cho người mới học  người dạy rất có tâm."
"Học được từ a Eric rất nhiều thứ từ khoá học."
"Khoá học rất hay  bổ ích cho người mới"
"thank you"
"This course is perfect for me to refresh my knowledge!!"
"Khoá học rất tuyệt vời! Phù hợp với người mới"
"Khóa học rất chất lượng  mọi kiến thức đều được anh giải thích 1 cách rõ ràng và dễ hiểu. Khi làm project anh đều sử dụng và nhắc lại những kiến thức đã được học ở phía trước  làm cho kiến thức được củng cố hơn và có tính liên kết với nhau. Đặc biệt là người dạy rất có tâm nữa <3"
"Khoá học rất hay và bổ ích. Khả năng truyền đạt tốt  tâm huyết"
