"Comment"
"Thầy dạy rất dễ hiểu   có nhiều bài hand on lab. Trong group thầy hỗ trợ nhiệt tình ạ"
"Cực kỳ phù hợp với những người mới bắt đầu như mình. Rất hi vọng anh Linh sẽ ra thêm các khoá học nâng cao khác <3"
"10 điểm cho khóa học vì đã giúp mình rất nhiều về mặt kiến thức và làm quen với các tools thông qua các bài lab."
"Khoá học rất hay. Khóa học giúp mình có nâng cao kỹ năng troubleshoot vì mình phải tìm và xử lý khi build hoặc triển khai :)). Cám ơn Anh Linh"
"Khóa học rất bổ ích"
"Great course!!"
"Tuyệt vời!"
"Nội dung chất lượng. Hệ thống hóa lại kiến thức tổng quan quy trình Devops/CICD"
"it's easy to understand"
"anh Linh giảng rất dễ hiểu học dễ vào lắm. :-)"
"đơn giản mang tính giới thiệu tốt phù hợp để làm step one nice"
"Rất hay và phù hợp với tôi!"
"Khóa học rất hay!"
"Huu ich va vo cung day du"
"Khóa học rất thực tế. Bước đệm để trở thành devops engineer"
"interesting"
"rất giá trị ạ"
"Khoá học chất lượng  nội dung đầy đủ  Thầy giải thích dễ hiểu."
"This course is very good. I will try to understand more about this AWS ."
"Cảm ơn anh nhiều ạ  khóa học rất nhiều kiến thức hay"
"good"
"hay  bổ ích"
"5 stars for dev and devops"
"Good"
"bổ ích"
"Great"
"Chiếc course giá hạt dẻ lại xịn xò mọi người nên có"
