"Comment"
"Good Courses"
"Cơ bản dễ hiểu"
"Các bài giảng của thầy quá chi tiết và dễ hiểu"
"Thật sự chất lượng !!! Legit 100%"
"Video dễ hiểu  code còn khá rườm rà. Các bài sau thì không còn nhiệt huyết nữa. Khóa học nhìn chung ổn  nếu giảng viên chăm chút hơn vào code  chất lượng giảng dạy của từng video thì có thể sẽ tốt hơn. Mong các khóa học tiếp theo  giảng viên sẽ nâng cao hơn chất lượng."
"tuyệt vời"
"khóa học bổ ích"
"khóa học bổ ích"
"Khóa học bổ ích"
"oke"
"khóa học tốt"
"Khóa học thú vị"
"bài học hay"
"good"
"Good"
"tốt"
"♥"
"được mấy bài đầu dạy còn nhiệt tình"
"ok"
"good"
"rất tuyệt vời"
"Khóa học hay và cung cấp rất nhiều kiến thức"
"Very good"
"oki"
"Thầy dạy hay và chi tiết  rất hữu ích"
"Good"
"Okie"
"ok"
"Rất tuyệt vời mong thầy ra thêm nhiều khoá chất lượng như này nữa ạ"
"Anh giảng rất chi tiết."
"Very good"
"Good!"
"perfect"
"Good!"
"Verry good !"
"More details"
